Title,Pop
Mr. Wrong (1996),1
Unforgettable (1996),1
Happy Gilmore (1996),4
"Bridges of Madison County, The (1995)",3
Nobody Loves Me (Keiner liebt mich) (1994),0
Muppet Treasure Island (1996),3
Catwalk (1995),0
Headless Body in Topless Bar (1995),0
Braveheart (1995),4
Taxi Driver (1976),4
Rumble in the Bronx (1995),4
Before and After (1996),1
Margaret's Museum (1995),0
Happiness Is in the Field (1995),0
Anne Frank Remembered (1995),1
"Young Poisoner's Handbook, The (1995)",2
If Lucy Fell (1996),2
"Steal Big, Steal Little (1995)",0
Race the Sun (1996),0
"Boys of St. Vincent, The (1993)",1
Boomerang (1992),3
Chungking Express (1994),2
"Star Maker, The (Uomo delle stelle, L') (1995)",0
Flirting With Disaster (1996),3
"NeverEnding Story III, The (1994)",2
"Silence of the Palace, The (Saimt el Qusur) (1994)",0
Jupiter's Wife (1994),0
Pie in the Sky (1995),0
Angela (1995),0
Frankie Starlight (1995),0
Jade (1995),2
Nueba Yol (1995),0
Sonic Outlaws (1995),0
Down Periscope (1996),2
From the Journals of Jean Seberg (1995),0
Man of the Year (1995),0
"Neon Bible, The (1995)",0
Target (1995),0
Up Close and Personal (1996),2
"Birdcage, The (1996)",4
Shadows (Cienie) (1988),0
Gospa (1995),0
"Brothers McMullen, The (1995)",4
Bad Boys (1995),3
"Amazing Panda Adventure, The (1995)",1
"Basketball Diaries, The (1995)",3
"Awfully Big Adventure, An (1995)",1
Amateur (1994),1
Apollo 13 (1995),4
Rob Roy (1995),4
"Addiction, The (1995)",2
Batman Forever (1995),4
Belle de jour (1967),2
Beyond Rangoon (1995),2
Blue in the Face (1995),2
Canadian Bacon (1994),3
Casper (1995),3
Clockers (1995),2
Congo (1995),4
Crimson Tide (1995),4
Crumb (1994),4
Desperado (1995),4
Devil in a Blue Dress (1995),3
Die Hard: With a Vengeance (1995),4
"Doom Generation, The (1995)",1
Feast of July (1995),0
First Knight (1995),3
Free Willy 2: The Adventure Home (1995),2
Hackers (1995),3
Jeffrey (1995),2
Johnny Mnemonic (1995),4
Judge Dredd (1995),4
Jury Duty (1995),2
Kids (1995),3
Living in Oblivion (1995),3
Lord of Illusions (1995),2
Love & Human Remains (1993),1
Mad Love (1995),1
Mallrats (1995),4
Mighty Morphin Power Rangers: The Movie (1995),2
Moonlight and Valentino (1995),1
Mute Witness (1994),1
Nadja (1994),1
"Net, The (1995)",4
Nine Months (1995),3
Party Girl (1995),2
"Prophecy, The (1995)",3
Reckless (1995),0
Safe (1995),2
"Scarlet Letter, The (1995)",2
"Show, The (1995)",0
Showgirls (1995),3
Smoke (1995),3
Something to Talk About (1995),2
Species (1995),4
"Stars Fell on Henrietta, The (1995)",1
Strange Days (1995),4
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",2
"Tie That Binds, The (1995)",0
Three Wishes (1995),1
Total Eclipse (1995),1
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
Under Siege 2: Dark Territory (1995),3
Unstrung Heroes (1995),2
Unzipped (1995),2
"Walk in the Clouds, A (1995)",3
Waterworld (1995),4
White Man's Burden (1995),1
Wild Bill (1995),1
"Browning Version, The (1994)",1
Bushwhacked (1995),0
Burnt By the Sun (Utomlyonnye solntsem) (1994),2
Before the Rain (Pred dozhdot) (1994),1
Before Sunrise (1995),2
Billy Madison (1995),3
"Babysitter, The (1995)",1
Boys on the Side (1995),3
"Cure, The (1995)",1
Castle Freak (1995),1
Circle of Friends (1995),3
Clerks (1994),4
Don Juan DeMarco (1995),3
Disclosure (1994),3
Dream Man (1995),0
Drop Zone (1994),2
Destiny Turns on the Radio (1995),0
Death and the Maiden (1994),2
Dolores Claiborne (1994),3
Dumb & Dumber (1994),4
Eat Drink Man Woman (1994),3
Exotica (1994),3
Exit to Eden (1994),2
Ed Wood (1994),4
French Kiss (1995),3
Forget Paris (1995),3
Far From Home: The Adventures of Yellow Dog (1995),1
"Goofy Movie, A (1995)",2
Hideaway (1995),1
Fluke (1995),1
Farinelli: il castrato (1994),2
Gordy (1995),0
Gumby: The Movie (1995),0
"Glass Shield, The (1994)",0
Hoop Dreams (1994),4
Heavenly Creatures (1994),4
Houseguest (1994),2
Immortal Beloved (1994),3
Heavyweights (1994),1
"Hunted, The (1995)",1
I.Q. (1994),3
Interview with the Vampire (1994),4
Jefferson in Paris (1995),1
"Jerky Boys, The (1994)",2
Junior (1994),3
Just Cause (1995),2
"Kid in King Arthur's Court, A (1995)",2
Kiss of Death (1995),2
Star Wars: Episode IV - A New Hope (1977),4
Little Women (1994),3
"Little Princess, A (1995)",2
Ladybird Ladybird (1994),1
"Enfer, L' (1994)",0
Like Water for Chocolate (Como agua para chocolate) (1992),4
Legends of the Fall (1994),4
Major Payne (1994),2
Little Odessa (1994),1
My Crazy Life (Mi vida loca) (1993),1
Love Affair (1994),2
Losing Isaiah (1995),1
"Madness of King George, The (1994)",3
Mary Shelley's Frankenstein (1994),3
Man of the House (1995),1
Mixed Nuts (1994),2
Milk Money (1994),3
Miracle on 34th Street (1994),2
Miami Rhapsody (1995),1
My Family (1995),1
Murder in the First (1995),3
Nobody's Fool (1994),3
Nell (1994),3
New Jersey Drive (1995),1
New York Cop (1996),0
Beyond Bedlam (1993),0
Nemesis 2: Nebula (1995),0
Nina Takes a Lover (1994),1
Natural Born Killers (1994),4
Only You (1994),2
Once Were Warriors (1994),2
Poison Ivy II (1995),1
Outbreak (1995),4
"Professional, The (a.k.a. Leon: The Professional) (1994)",4
"Perez Family, The (1995)",1
"Pyromaniac's Love Story, A (1995)",1
Pulp Fiction (1994),4
Panther (1995),1
Pushing Hands (1992),1
Priest (1994),2
Quiz Show (1994),4
Picture Bride (1995),1
Queen Margot (La Reine Margot) (1994),2
"Quick and the Dead, The (1995)",4
Roommates (1995),1
Ready to Wear (Pret-A-Porter) (1994),2
Three Colors: Red (1994),3
Three Colors: Blue (1993),3
Three Colors: White (1994),3
"Red Firecracker, Green Firecracker (1994)",1
Rent-a-Kid (1995),0
Relative Fear (1994),0
Stuart Saves His Family (1995),2
"Swan Princess, The (1994)",1
"Secret of Roan Inish, The (1994)",3
"Specialist, The (1994)",2
Stargate (1994),4
"Santa Clause, The (1994)",4
"Shawshank Redemption, The (1994)",4
Shallow Grave (1994),3
Suture (1993),1
Strawberry and Chocolate (Fresa y chocolate) (1993),1
Swimming with Sharks (1995),3
"Sum of Us, The (1994)",1
National Lampoon's Senior Trip (1995),1
To Live (Huozhe) (1994),1
Tank Girl (1995),3
Tales From the Crypt Presents: Demon Knight (1995),2
Star Trek: Generations (1994),4
Tales from the Hood (1995),2
Tom & Viv (1994),1
Village of the Damned (1995),2
Tommy Boy (1995),3
Vanya on 42nd Street (1994),2
"Underneath, The (1995)",1
"Walking Dead, The (1995)",1
What's Eating Gilbert Grape (1993),4
Virtuosity (1995),3
While You Were Sleeping (1995),4
"War, The (1994)",2
Double Happiness (1994),1
Muriel's Wedding (1994),4
"Baby-Sitters Club, The (1995)",1
Ace Ventura: Pet Detective (1994),4
"Adventures of Priscilla, Queen of the Desert, The (1994)",4
Backbeat (1993),2
Bitter Moon (1992),1
Bullets Over Broadway (1994),4
Clear and Present Danger (1994),4
"Client, The (1994)",4
"Corrina, Corrina (1994)",3
Crooklyn (1994),2
"Crow, The (1994)",4
Cobb (1994),2
"Flintstones, The (1994)",3
Forrest Gump (1994),4
Four Weddings and a Funeral (1994),4
Higher Learning (1995),2
I Like It Like That (1994),1
I Love Trouble (1994),2
It Could Happen to You (1994),3
"Jungle Book, The (1994)",3
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",1
"Lion King, The (1994)",4
Little Buddha (1993),2
Wes Craven's New Nightmare (1994),3
"Mask, The (1994)",4
Maverick (1994),4
Mrs. Parker and the Vicious Circle (1994),1
Naked Gun 33 1/3: The Final Insult (1994),4
"Paper, The (1994)",3
Reality Bites (1994),4
Red Rock West (1992),3
Richie Rich (1994),3
Safe Passage (1994),1
"River Wild, The (1994)",3
Speed (1994),4
Speechless (1994),2
Timecop (1994),4
True Lies (1994),4
When a Man Loves a Woman (1994),3
Wolf (1994),3
Wyatt Earp (1994),3
Bad Company (1995),1
"Man of No Importance, A (1994)",0
S.F.W. (1994),1
"Low Down Dirty Shame, A (1994)",2
Boys Life (1995),2
"Colonel Chabert, Le (1994)",1
Faster Pussycat! Kill! Kill! (1965),1
Jason's Lyric (1994),1
"Secret Adventures of Tom Thumb, The (1993)",1
Street Fighter (1994),2
Coldblooded (1995),1
Desert Winds (1995),0
Fall Time (1995),0
"Fear, The (1995)",0
Frank and Ollie (1995),0
Girl in the Cadillac (1995),0
Homage (1995),0
Mirage (1995),0
Open Season (1996),0
Two Crimes (1995),0
Brother Minister: The Assassination of Malcolm X (1994),0
Highlander III: The Sorcerer (1994),3
Federal Hill (1994),0
In the Mouth of Madness (1995),3
8 Seconds (1994),2
Above the Rim (1994),1
Addams Family Values (1993),4
You So Crazy (1994),0
"Age of Innocence, The (1993)",3
Airheads (1994),3
"Air Up There, The (1994)",2
Another Stakeout (1993),3
Bad Girls (1994),2
Barcelona (1994),3
Being Human (1993),1
"Beverly Hillbillies, The (1993)",2
Beverly Hills Cop III (1994),3
Black Beauty (1994),2
Blink (1994),1
Blown Away (1994),3
Blue Chips (1994),2
Blue Sky (1994),2
Body Snatchers (1993),3
Boxing Helena (1993),2
"Bronx Tale, A (1993)",3
Cabin Boy (1994),3
Calendar Girl (1993),1
Carlito's Way (1993),3
City Slickers II: The Legend of Curly's Gold (1994),3
Clean Slate (1994),1
Cliffhanger (1993),4
Coneheads (1993),4
Color of Night (1994),2
Cops and Robbersons (1994),1
"Cowboy Way, The (1994)",2
Dangerous Game (1993),0
Dave (1993),4
Dazed and Confused (1993),4
Demolition Man (1993),4
"Endless Summer 2, The (1994)",1
Even Cowgirls Get the Blues (1993),2
Fatal Instinct (1993),2
Farewell My Concubine (1993),3
"Favor, The (1994)",1
Fearless (1993),3
Fear of a Black Hat (1993),2
With Honors (1994),3
Flesh and Bone (1993),2
Widows' Peak (1994),1
For Love or Money (1993),2
"Firm, The (1993)",4
Free Willy (1993),3
Fresh (1994),2
"Fugitive, The (1993)",4
Geronimo: An American Legend (1993),2
"Getaway, The (1994)",2
Getting Even with Dad (1994),1
Go Fish (1994),2
"Good Man in Africa, A (1994)",1
Guilty as Sin (1993),1
Hard Target (1993),3
Heaven & Earth (1993),2
Hot Shots! Part Deux (1993),4
Live Nude Girls (1995),1
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3
"House of the Spirits, The (1993)",2
House Party 3 (1994),1
"Hudsucker Proxy, The (1994)",4
I'll Do Anything (1994),1
In the Army Now (1994),2
In the Line of Fire (1993),4
In the Name of the Father (1993),3
"Inkwell, The (1994)",1
What's Love Got to Do with It? (1993),3
Jimmy Hollywood (1994),1
Judgment Night (1993),2
Jurassic Park (1993),4
Kalifornia (1993),3
Killing Zoe (1994),3
King of the Hill (1993),2
Lassie (1994),1
Last Action Hero (1993),4
Life with Mikey (1993),1
Lightning Jack (1994),1
M. Butterfly (1993),1
Made in America (1993),2
Malice (1993),3
"Man Without a Face, The (1993)",3
Manhattan Murder Mystery (1993),3
Menace II Society (1993),3
Executive Decision (1996),4
In the Realm of the Senses (Ai no corrida) (1976),1
What Happened Was... (1994),1
Much Ado About Nothing (1993),4
Mr. Jones (1993),1
Mr. Wonderful (1993),1
Mrs. Doubtfire (1993),4
Naked (1993),2
"Next Karate Kid, The (1994)",2
"New Age, The (1994)",0
No Escape (1994),3
North (1994),2
Orlando (1993),2
"Perfect World, A (1993)",3
Philadelphia (1993),4
"Piano, The (1993)",4
Poetic Justice (1993),1
"Program, The (1993)",2
Robert A. Heinlein's The Puppet Masters (1994),3
Radioland Murders (1994),2
"Ref, The (1994)",3
"Remains of the Day, The (1993)",4
Renaissance Man (1994),3
Rising Sun (1993),3
"Road to Wellville, The (1994)",2
Robocop 3 (1993),3
Robin Hood: Men in Tights (1993),3
Romeo Is Bleeding (1993),2
Romper Stomper (1992),2
Ruby in Paradise (1993),2
Rudy (1993),4
"Saint of Fort Washington, The (1993)",1
"Savage Nights (Nuits fauves, Les) (1992)",0
Schindler's List (1993),4
"Scout, The (1994)",2
Searching for Bobby Fischer (1993),4
Second Best (1994),0
"Secret Garden, The (1993)",3
Serial Mom (1994),3
"Shadow, The (1994)",3
Shadowlands (1993),3
Short Cuts (1993),3
"Simple Twist of Fate, A (1994)",1
Sirens (1994),3
Six Degrees of Separation (1993),3
Sleepless in Seattle (1993),4
Sliver (1993),2
Blade Runner (1982),4
Son in Law (1993),3
So I Married an Axe Murderer (1993),4
Striking Distance (1993),2
Harlem (1993),0
Super Mario Bros. (1993),3
Surviving the Game (1994),2
Terminal Velocity (1994),2
Thirty-Two Short Films About Glenn Gould (1993),2
Threesome (1994),3
"Nightmare Before Christmas, The (1993)",4
"Three Musketeers, The (1993)",4
Tombstone (1993),4
Trial by Jury (1994),1
True Romance (1993),4
"War Room, The (1993)",2
Mamma Roma (1962),0
"Pagemaster, The (1994)",2
"Paris, France (1993)",0
"Beans of Egypt, Maine, The (1994)",0
Killer (Bulletproof Heart) (1994),0
Welcome to the Dollhouse (1995),4
Germinal (1993),1
Chasers (1994),1
Cronos (1992),1
Naked in New York (1994),0
Kika (1993),0
Bhaji on the Beach (1993),1
Little Big League (1994),2
"Slingshot, The (Kådisbellan ) (1993)",1
"Wedding Gift, The (1994)",1
Foreign Student (1994),0
"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",1
Spanking the Monkey (1994),3
"Little Rascals, The (1994)",2
Fausto (1993),0
Andre (1994),1
"Hour of the Pig, The (1993)",0
"Scorta, La (1993)",0
Princess Caraboo (1994),1
"Celluloid Closet, The (1995)",2
Metisse (Café au Lait) (1993),0
Dear Diary (Caro Diario) (1994),1
I Don't Want to Talk About It (De eso no se habla) (1993),0
"Brady Bunch Movie, The (1995)",4
Home Alone (1990),4
Ghost (1990),4
Aladdin (1992),4
Terminator 2: Judgment Day (1991),4
Dances with Wolves (1990),4
Tough and Deadly (1995),0
Batman (1989),4
"Silence of the Lambs, The (1991)",4
Snow White and the Seven Dwarfs (1937),4
Beauty and the Beast (1991),4
Pinocchio (1940),4
Pretty Woman (1990),4
Window to Paris (1994),0
"Wild Bunch, The (1969)",3
Love and a .45 (1994),1
"Wooden Man's Bride, The (Wu Kui) (1994)",0
"Great Day in Harlem, A (1994)",1
"Bye Bye, Love (1995)",1
Criminals (1996),0
One Fine Day (1996),3
Candyman: Farewell to the Flesh (1995),2
Century (1993),0
Fargo (1996),4
Homeward Bound II: Lost in San Francisco (1996),2
Heavy Metal (1981),4
Hellraiser: Bloodline (1996),3
"Pallbearer, The (1996)",2
Jane Eyre (1996),2
Loaded (1994),0
Bread and Chocolate (Pane e cioccolata) (1973),2
"Aristocats, The (1970)",3
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",1
Two Much (1996),0
Ed (1996),1
Scream of Stone (Schrei aus Stein) (1991),0
My Favorite Season (1993),1
"Modern Affair, A (1995)",0
Condition Red (1995),0
Asfour Stah (1990),0
"Thin Line Between Love and Hate, A (1996)",1
"Last Supper, The (1995)",2
Primal Fear (1996),4
Rude (1995),0
Carried Away (1996),0
All Dogs Go to Heaven 2 (1996),2
Land and Freedom (Tierra y libertad) (1995),0
Denise Calls Up (1995),1
Theodore Rex (1995),0
"Family Thing, A (1996)",2
Frisk (1995),0
Sgt. Bilko (1996),2
Jack and Sarah (1995),1
Girl 6 (1996),2
Diabolique (1996),2
"Little Indian, Big City (Un indien dans la ville) (1994)",0
Roula (1995),0
Peanuts - Die Bank zahlt alles (1996),0
Happy Weekend (1996),0
Nelly & Monsieur Arnaud (1995),1
Courage Under Fire (1996),4
Mission: Impossible (1996),4
Cold Fever (Á köldum klaka) (1994),0
Moll Flanders (1996),2
"Superweib, Das (1996)",0
"301, 302 (1995)",0
Dragonheart (1996),4
Und keiner weint mir nach (1996),0
Mutters Courage (1995),0
Eddie (1996),1
Yankee Zulu (1994),0
Billy's Holiday (1995),0
Purple Noon (1960),1
August (1996),0
James and the Giant Peach (1996),4
Fear (1996),2
Kids in the Hall: Brain Candy (1996),3
Faithful (1996),0
Underground (1995),1
All Things Fair (1996),0
Bloodsport 2 (1995),1
Pather Panchali (1955),1
Aparajito (1956),1
"World of Apu, The (Apur Sansar) (1959)",1
Mystery Science Theater 3000: The Movie (1996),4
Tarantella (1995),0
Space Jam (1996),4
Barbarella (1968),3
Hostile Intentions (1994),0
They Bite (1996),0
Some Folks Call It a Sling Blade (1993),3
"Run of the Country, The (1995)",0
Alphaville (1965),1
Clean Slate (Coup de Torchon) (1981),0
Tigrero: A Film That Was Never Made (1994),0
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",0
Windows (1980),0
It's My Party (1995),1
Country Life (1994),0
Operation Dumbo Drop (1995),3
"Promise, The (Versprechen, Das) (1994)",0
Mrs. Winterbourne (1996),2
Solo (1996),2
Under the Domin Tree (Etz Hadomim Tafus) (1994),0
"Substitute, The (1996)",2
True Crime (1995),2
Butterfly Kiss (1995),0
Feeling Minnesota (1996),2
Delta of Venus (1994),0
To Cross the Rubicon (1991),0
Angus (1995),2
Daens (1992),0
Faces (1968),1
Boys (1996),0
"Quest, The (1996)",1
Cosi (1996),1
Sunset Park (1996),0
Mulholland Falls (1996),3
"Truth About Cats & Dogs, The (1996)",4
Oliver & Company (1988),2
Celtic Pride (1996),1
Flipper (1996),1
Captives (1994),0
Of Love and Shadows (1994),0
Dead Man (1995),2
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",1
Switchblade Sisters (1975),1
Mouth to Mouth (Boca a boca) (1995),0
"Visitors, The (Les Visiteurs) (1993)",1
Multiplicity (1996),3
Wallace & Gromit: The Best of Aardman Animation (1996),4
Halfmoon (Paul Bowles - Halbmond) (1995),0
"Haunted World of Edward D. Wood Jr., The (1995)",1
Two Friends (1986),0
"Craft, The (1996)",4
"Great White Hype, The (1996)",2
Last Dance (1996),0
War Stories (1995),0
Cold Comfort Farm (1995),3
"Institute Benjamenta, or This Dream People Call Human Life (1995)",0
"Low Life, The (1994)",0
Heaven's Prisoners (1996),1
Original Gangstas (1996),0
"Rock, The (1996)",4
Getting Away With Murder (1996),0
Cemetery Man (Dellamorte Dellamore) (1994),2
Twister (1996),4
Barb Wire (1996),3
"Garcu, Le (1995)",0
Honigmond (1996),0
Ghost in the Shell (Kokaku kidotai) (1995),3
Thinner (1996),2
Spy Hard (1996),2
Brothers in Trouble (1995),0
"Close Shave, A (1995)",4
Force of Evil (1948),1
"Stupids, The (1996)",1
"Arrival, The (1996)",4
"Man from Down Under, The (1943)",0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4
Careful (1992),0
Vermont Is For Lovers (1992),0
"Month by the Lake, A (1995)",1
Gold Diggers: The Secret of Bear Mountain (1995),0
Kim (1950),0
Carmen Miranda: Bananas Is My Business (1994),0
Ashes of Time (1994),0
"Jar, The (Khomreh) (1992)",0
Maya Lin: A Strong Clear Vision (1994),1
Stalingrad (1993),1
"Phantom, The (1996)",2
Striptease (1996),3
"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",0
Heavy (1995),2
Jack (1996),2
I Shot Andy Warhol (1996),2
"Grass Harp, The (1995)",1
Someone Else's America (1995),0
Marlene Dietrich: Shadow and Light (1996),0
Costa Brava (1946),0
"Vie est belle, La (Life is Rosey) (1987)",1
Quartier Mozart (1992),0
Touki Bouki (Journey of the Hyena) (1973),0
Wend Kuuni (God's Gift) (1982),0
Spirits of the Dead (Tre Passi nel Delirio) (1968),0
Babyfever (1994),0
Pharaoh's Army (1995),0
Trainspotting (1996),4
'Til There Was You (1997),1
Independence Day (ID4) (1996),4
Stealing Beauty (1996),2
"Fan, The (1996)",2
"Hunchback of Notre Dame, The (1996)",3
"Cable Guy, The (1996)",3
Kingpin (1996),4
Eraser (1996),4
"Gate of Heavenly Peace, The (1995)",0
"Nutty Professor, The (1996)",4
"I, Worst of All (Yo, la peor de todas) (1990)",0
An Unforgettable Summer (1994),0
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",0
"Hungarian Fairy Tale, A (1987)",0
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),0
Midnight Dancers (Sibak) (1994),0
Somebody to Love (1994),0
"Very Natural Thing, A (1974)",0
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",0
Daylight (1996),3
"Frighteners, The (1996)",3
Lone Star (1996),4
Harriet the Spy (1996),2
Phenomenon (1996),4
Walking and Talking (1996),1
She's the One (1996),3
"Time to Kill, A (1996)",3
American Buffalo (1996),1
"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",0
Alaska (1996),1
Fled (1996),2
Kazaam (1996),2
"Bewegte Mann, Der (1994)",0
Magic Hunter (1994),0
Larger Than Life (1996),1
"Boy Called Hate, A (1995)",0
Power 98 (1995),0
Two Deaths (1995),0
"Very Brady Sequel, A (1996)",3
Stefano Quantestorie (1993),0
"Death in the Garden (Mort en ce jardin, La) (1956)",0
"Crude Oasis, The (1995)",0
Hedd Wyn (1992),0
"Collectionneuse, La (1967)",0
Kaspar Hauser (1993),1
Echte Kerle (1996),0
Diebinnen (1995),0
"Convent, The (Convento, O) (1995)",0
"Adventures of Pinocchio, The (1996)",1
Joe's Apartment (1996),2
"First Wives Club, The (1996)",3
Stonewall (1995),1
Ransom (1996),4
High School High (1996),2
Phat Beach (1996),0
Foxfire (1996),2
Chain Reaction (1996),3
Matilda (1996),3
Emma (1996),4
"Crow: City of Angels, The (1996)",2
House Arrest (1996),1
Eyes Without a Face (1959),1
Tales from the Crypt Presents: Bordello of Blood (1996),2
Lotto Land (1995),0
"Story of Xinghua, The (1993)",0
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",0
Flirt (1995),1
"Big Squeeze, The (1996)",0
"Spitfire Grill, The (1996)",2
Escape from L.A. (1996),4
Cyclo (1995),1
Basquiat (1996),2
Tin Cup (1996),4
Dingo (1992),0
"Ballad of Narayama, The (Narayama Bushiko) (1958)",0
Every Other Weekend (1990),0
Mille bolle blu (1993),0
Crows and Sparrows (1949),0
"Godfather, The (1972)",4
"Hippie Revolution, The (1996)",0
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",0
Supercop (1992),3
Manny & Lo (1996),1
Celestial Clockwork (1994),0
"Wife, The (1995)",0
Small Faces (1995),0
Bound (1996),4
Carpool (1996),1
Death in Brunswick (1991),0
Kansas City (1996),1
Gone Fishin' (1997),1
Lover's Knot (1996),0
Aiqing wansui (1994),0
Shadow of Angels (Schatten der Engel) (1976),0
Killer: A Journal of Murder (1995),0
Nothing to Lose (1994),1
Police Story 4: Project S (Chao ji ji hua) (1993),1
Girls Town (1996),1
Bye-Bye (1995),0
"Relic, The (1997)",3
"Island of Dr. Moreau, The (1996)",3
First Kid (1996),2
"Trigger Effect, The (1996)",1
Sweet Nothing (1995),0
Bogus (1996),1
Bulletproof (1996),2
Talk of Angels (1998),0
Land Before Time III: The Time of the Great Giving (1995),1
1-900 (1994),0
Baton Rouge (1988),0
Halloween: The Curse of Michael Myers (1995),3
Twelfth Night (1996),2
Mother Night (1996),2
Liebelei (1933),0
Venice/Venice (1992),0
Wild Reeds (1994),1
For Whom the Bell Tolls (1943),2
"Philadelphia Story, The (1940)",4
Singin' in the Rain (1952),4
"American in Paris, An (1951)",3
Funny Face (1957),2
Breakfast at Tiffany's (1961),4
Vertigo (1958),4
Rear Window (1954),4
It Happened One Night (1934),3
Gaslight (1944),3
"Gay Divorcee, The (1934)",2
North by Northwest (1959),4
"Apartment, The (1960)",4
Some Like It Hot (1959),4
Charade (1963),3
Casablanca (1942),4
"Maltese Falcon, The (1941)",4
My Fair Lady (1964),4
Sabrina (1954),3
Roman Holiday (1953),4
"Little Princess, The (1939)",2
Meet Me in St. Louis (1944),3
"Wizard of Oz, The (1939)",4
Gone with the Wind (1939),4
My Favorite Year (1982),3
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4
Citizen Kane (1941),4
2001: A Space Odyssey (1968),4
Golden Earrings (1947),0
All About Eve (1950),3
"Women, The (1939)",2
Rebecca (1940),3
Foreign Correspondent (1940),2
Notorious (1946),4
Spellbound (1945),3
"Affair to Remember, An (1957)",3
To Catch a Thief (1955),4
Father of the Bride (1950),3
"Band Wagon, The (1953)",2
Ninotchka (1939),2
Love in the Afternoon (1957),1
Gigi (1958),3
"Reluctant Debutante, The (1958)",0
"Adventures of Robin Hood, The (1938)",3
"Mark of Zorro, The (1940)",2
Laura (1944),3
"Ghost and Mrs. Muir, The (1947)",2
Lost Horizon (1937),2
Top Hat (1935),3
To Be or Not to Be (1942),2
My Man Godfrey (1936),3
Giant (1956),2
East of Eden (1955),3
"Thin Man, The (1934)",3
